med_name
"(Bofalogn)Paracetamol Infusion"
"Pregabalin 150mg"
"Pregabalin 50mg cap"
"Pregabalin 75mg"
"Pregasafe 75mg"
"Pregnacare Plus Cream"
"Premaston 5mg"
"Premi rig(ေခႅး Immunoglobin)"
"Prenagen Lactamom"
"Prepentin 75mg"
"Pretex"
"Primaquine"
"Primolute-N"
"Princi B Fort Tab"
"Pro Multina"
"Probe Cleanser"
"Probiotic 6"
"Probiotics cap"
"Procard"
"Profertil tab"
"Profol Inj"
"Progesic 250mg(syp)"
"Progesterone inj"
"Proglutro 500 (Metformin)"
"Proglutrol 1000(metformin)"
"Prohance powder"
"Prolene 0"
"Prolene 1"
"Prolene 1 (Ethicon)"
"Prolene 2/(Ethicon)"
"Prolene 2/0"
"Prolene 3/0"
"Prolene 4/0"
"Prolene 5/0"
"Prolene 7/0"
"Prolomet XL 25mg"
"Proluton Depo Inj"
"Propanalol 10mg"
"Propanalol 40mg"
"Propolis honey"
"prosatamin"
"Prosure powder"
"Protinet"
"PTU 50 mg"
"Pus Oxymeter"
"PVP T 500ml"
"PVP T 5Liter"
"Pylokit Tab"
"Pylori kits"
"Quadra Gel"
"Quetiapine 25mg"
"R/L Drip"
"Rabeloc 10mg"
"Rabeloc 20"
"Rabeloc 20 Iv"
"Rabeprazole 20mg"
"Rablet D"
"Rablet-I"
"Rabotide Fast 20mg"
"Raciper 20mg"
"Raciper 40 mg"
"Ramipril 2.5 mg"
"Ranferon 12"
"Raninditine inj"
"Ranitidine Tab"
"Rarabi 20mg"
"RBS"
"RBS needle"
"RBS Strip ( Smate Strip)"
"Relcer"
"Relispa"
"Relispa inj"
"Remdesivir drip"
"Remdesivir inj"
"Remopain inj"
"Rennie Tab"
"Reno Diet Lp powder"
"Renocare NM"
"Renoket tab"
"Renovit"
"Repace H"
"Reterpan inj"
"Retilase"
"Retin-A Cream"
"Revac B Inj"
"Revac-B (Adult)"
"Revolizer"
"Rh Immunoclobin (Rhoclone)"
"Riconia"
"Rocephin Inj"
"Rolac 150"
"Roliten 2mg"
"Rotec 50mg"
"Rowachol cap"
"Rowatanal cream"
"Rowatinex cap"
"Roxit 150"
"Royal D"
"Rubuphine inj"
"Rydmin-G"
"Ryle tube 10"
"Ryle tube 12"
"Ryle tube 14"
"Ryle tube 16"
"Ryle tube 18"
"Ryle tube 4"
"Ryle tube 5"
"Ryle tube 6"
"Ryle tube 8"
"Salbec"
"Salbutamol inj"
"Salt Tab"
"Sampraz 20 Cap"
"Sanetil-100mg"
"Sanglif(canagliflozin)"
"Sara 250 syrup"
"SBG ear drop"
"Scabex Cream"
"scabin cream"
"Scagel"
"Scagel Cream"
"Scalp vein"
"SE ball (large)"
"SE ball (small)"
"Seabin cream (Permizone)"
"Seawater Nasal Spray"
"Sedanafil"
"Sedilix DM Syp"
"Selbex 50mg"
"Senapep tablet"
"Septrim tab"
"Serazyme-10mg Tab"
"Seroflo Inhalar"
"Siderfol"
"Siduol Cap"
"Silbex syp"
"Sildenafil 100mg"
"Silicon Ryle tube No.14"
"Silicon Ryle tube No.16"
"Silk 0"
"Silk 1"
"Silk 2/0"
"Silk 3/0"
"Silk 4/0"
"Silk 5/0"
"Siloxogene Syp"
"Siloxogine"
"Silver Iron"
"Silver nerve"
"Silver Q10"
"Silverderm cream"
"Silybean"
"silyhepa"
"Silyliv"
"Silzer cream"
"Simple Catheter"
"Simple Catheter No.12"
"Simply one"
"Sitamin 500mg"
"Sitamin1000mg"
"Sitcom"
"Sivkort"
"Six Six"
"Skineal  cream Big"
"Skineal Cream Small"
"SLEEPCARE  Tab"
"Slow K"
"Smartest Strip"
"Smecta"
"Sodamit"
"sodia cap"
"Sodium Bicarbonate"
"Sofidew cream"
"Sofratulle"
"Sol- U pred 5oomg"
"Soldium Bicarbonate Inj"
"Solf Ban 4\""
"Solf Ban 6\""
"Solmux"
"Solmux Broncho Cap"
"Solmux broncho syp"
"Solmux Sy 60ml"
"Solmux syp 30ml"
"Solu medrol inj"
"Soluble insulin"
"Solupred 40mg(inj)"
"Solvin Tab"
"Somino Sleep 3mg"
"Sompraz 20"
"Sompraz 40 Cap"
"Sompraz IT Cap"
"sompraz Iv"
"Sove 10"
"sove 5"
"Space For Aerosol"
"Spacovin"
"Spacovin Tab"
"Speculum"
"Spinal Needle"
"Spinal Needle (Long)"
"Spirit 20L"
"Spirit Big"
"Spirit Small"
"Spiromide 20mg Tab"
"Spiromide 40mg Tab"
"Spomostan pack"
"Sporidex p/d"
"ST Pase inj (streptokinase)"
"Stapler"
"Statum cream"
"Stemitil"
"Steptex"
"Steromycin"
"Stimetil Tab"
"Strepsil Tab"
"Streptokinase inj"
"Stripole(Pantocid Iv)"
"Strocain Tap"
"Strocid"
"Strocit 500 Tap"
"Stugeon Tab"
"Subica"
"sucrate Gel"
"Suction ball"
"Suction Tip"
"Suction tube 10"
"Suction tube 12"
"Suction tube 14"
"Suction tube 8"
"Suction Tube16"
"Suction ပိုက္ေခႅ"
"Sugar Down"
"SUL JAC (Ampicillin+ sulbactam)"
"Sultab 375 mg"
"Sumatonin 100mg"
"Sunlife Nasal Spray"
"Super Arte 2.2 Tab"
"Super Arte 4.4 Tab"
"Superazone 1g"
"Supercheck"
"Supradyn Tab"
"Supravit Tab"
"Surgitol"
"Sustem Cap"
"Sux"
"Suzone 1g"
"SUZONE(CS 2)"
"Swizglipt M"
"Sying 50cc"
"Sylgan-S"
"Sym plus"
"Syndopa 275"
"Syring 10cc"
"Syring 1cc"
"Syring 20cc"
"Syring 3cc"
"Syring 5cc"
"T tube"
"T-L brace"
"T.E.O"
"T.E.O (BPI)"
"T.E.O (tab)"
"Tambae 200"
"Tambae100"
"Tascit (potassium Citrate)"
"Tazolin 4.5g"
"Tegedran ( cannula fix plaster )"
"Telfast 180mg"
"Telmisartan 20mg Tab"
"Telmisartan 40mg Tab"
"Tendovit"
"Tenof"
"Tenov - A"
"Tenov tab"
"Tenvir"
"Terlimed 1mg"
"Tersar 20mg Tab"
"Tersar40mg Tab"
"test"
"testosterone 40mg(HOM)"
"Tetra tab"
"Thermomrter"
"Tigecyclin inj 50mg"
"Tinidazole tab"
"Tiova tablet"
"topirol 25mg"
"topirol 50mg"
"Torodroxyl 250mg Tab"
"Torodroxyl 500mg Tad"
"Tothema tube"
"Tower"
"Tozilizumab 400 mg"
"Tralyvit tablet"
"Tramadol"
"Tramadol Cap"
"Transaminc 500"
"Trasmic acid Cap250"
"Tricaine gel"
"Triplixam 10mg/1.25mg/10mg"
"Triplixam 5mg/1.25mg/5mg"
"Tripta Tab"
"Trivedon-MR"
"Triveram 10/5/5mg"
"Triveram 20/5/5mg"
"Trizonish (IV)"
"Troyvit D3"
"Tus Q sy"
"Tystatin syp"
"U4"
"UCG Strip"
"Ucol-2"
"ULtra Vitamin C 500mg"
"ULtrasound Gel"
"Ultrasound Paper"
"Under Pad"
"Uni-ma ENEMA 133ml"
"Unienzyme Tab"
"Uniflex-n Cream"
"Unotatin (tramic acid)"
"Uragin Tap"
"Urgo ( 8cm *9cm )"
"Urgo ( 9cm )"
"Urgo (8cm*6cm )"
"Urgo Medium(15*8)"
"Urgo Small (9cm*25cm)"
"Urgo small(15cm*8cm)"
"Urgo Small(6cm*10cm)"
"Urgo Small(8*10 6*8)"
"Urgo(25cm*10cm)"
"Urgo(OPSITE POST-OP)"
"Uric Acid"
"Urimax D"
"Urine Bag"
"Uristat tab"
"Uro Colour 10"
"Uro Colour 2"
"Uro-K"
"Urocrush cap"
"Urografin 76%"
"Urosen tablet"
"Urovoid"
"Ursa 200mg"
"Ursa 300"
"Ursa S"
"V-Rohto Eye"
"Valavir 500mg"
"Valdoxen 25mg"
"Vamocin inj"
"Vancolyn inj"
"Vancomycin inj"
"Vastarel MR"
"Vave syp(Domeperidone)"
"Vaxigrip inj"
"Vaxigrip Tetra"
"VaxRab-N inj"
"Vencosyn inj"
"Ventolin Inhalar"
"Ventolin Nebules"
"Ventolin tab"
"Verorab"
"Verorab inj"
"Vertinil 25mg"
"Vexagrip Inj"
"Vexime 200mg(cefixime 200mg)"
"Vexop-S Inj"
"Vexuro 250mg (Cefuroxime)"
"Vexuro 500mg (Cefuroxime500mg)"
"Vexzo-TP"
"Vexzo-TP Inj"
"Vibran"
"Vicee"
"Vicee 500mg Tab"
"Vicry 2/0 (Ethicon)"
"Vicryl 0"
"Vicryl 1"
"Vicryl 2/0"
"Vicryl 3/0"
"Vicryl 3/0 (Ethicon)"
"Vicryl 4/0"
"vicryl Ethicon 1"
"Vicyl  5/0 (round 16mm)"
"Viferon"
"Vifex syp"
"Vinpotin 5mg"
"Vinrab B"
"Vioram Tab"
"Viraday"
"Vit B Denk Tab"
"Vit C prolong 250mg"
"vit D 400"
"vita kit"
"Vita plus drip"
"Vitacap Cap"
"Vitacee 500mg"
"Vitahome Cap"
"Vital Zinc"
"Vitall 50+ Men"
"Vitamin D 2000"
"Vitcor 4000mg S/c"
"Vitron"
"Volini gel"
"Voltex kool gel"
"Voltex warm gel"
"Voriole iv"
"Warfran 1"
"Warfran 5"
"warfran-2"
"Warfrin 4"
"Wepox  4000 IU  Inj"
"Wepox 2000 U Inj"
"Wepox 6000iu"
"Win A way"
"Wood syp (anti)"
"Wood syp (Expet)"
"Worferan 5mg"
"Workadine"
"Workadine 450ml"
"Xtracal HD"
"Xylocaine Gel (Jasocaine)"
"Zanocin drip"
"Zanocin Tab"
"Zecuf Lozenges Tab"
"Zecuff syp"
"Zedex syp"
"Zeptol Tab"
"Zercyun (Esomeprazole inj)"
"Zerodol 100mg Tab"
"Zerodol 200 mg (ACHID)"
"Zerodol P Tab"
"Zerost Sprcer"
"Zicam -15"
"zicam 7.5 (Meloxicam)"
"Zidex spy"
"Zifex Plus tab"
"Ziflum 1.5mg"
"Ziglip 100mg Tab"
"Ziglip 50mg Tab"
"Ziglip M Tab"
"Zigo 8"
"Zimag"
"Zinc"
"Zinc (spy)"
"Zinc Oxide"
"zincovit Drop"
"Zincovit Sy"
"Zincovit tab"
"Zitax Iv 1.5 mg"
"Zobactum inj (CS1)"
"Zocovin Cream"
"Zolenic"
"Zosert 25mg"
"Zosert 50mg"
"Zox Syp"
"Zurig"
"ZYM"
"Zypron"
"ZyQ"
"Zyrova 10"
"Zyrova 5"
"Zytee RB Solution"
"Zytrim 120mg"
"ကက္ဆူဆီ"
"ကေလးလက္ပတ္"
"ခါးကပ္ပလာစတာ"
"ခါးပတ္"
"ဂႅင္း"
"ဆားခါး ထုပ္"
"ဆားခါး ဘူး"
"တုတ္ေကႅးကာကႅယ္ေဆး"
"ဒူးစႅပ္"
"ဗိုက္စၫ္း"
"မ်က္မွန္"
"လက္စႅပ္"
"လက္ပတ္"
"လက္သိုင္း"
"လ်ွာဆႅဲ"
"လ်ွာဆႅဲ ေသး"
"လၫ္ပင္းေထာင့္မာ"
"သားေျကာျဖတ္ေလ်ွာက္လႅာ"
"သံလႅင္ဆီ"
"ေခါင္းစႅပ္"
"ေဆးထုိးခ"
"ေရေႏႅးအိတ္"
"ေျခေထာက္ခဲဆႅဲ"
"ျကက္ဆူဆီ"
